,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_size,split1_test_size,split2_test_size,split3_test_size,split4_test_size,mean_test_size,std_test_size,rank_test_size,split0_train_size,split1_train_size,split2_train_size,split3_train_size,split4_train_size,mean_train_size,std_train_size,split0_test_compute,split1_test_compute,split2_test_compute,split3_test_compute,split4_test_compute,mean_test_compute,std_test_compute,rank_test_compute,split0_train_compute,split1_train_compute,split2_train_compute,split3_train_compute,split4_train_compute,mean_train_compute,std_train_compute,depth_param_type,depth_param_value,feature_set
0,0.07720060348510742,0.006231547835754482,0.022866296768188476,0.0014379481403389125,0.42366811947298216,24,"{'min_samples_split': np.float64(0.42366811947298216), 'n_estimators': 24}",0.7530864197530864,0.5925925925925926,0.6125,0.6125,0.6125,0.6366358024691359,0.058733570442345485,84,0.7258566978193146,0.632398753894081,0.6242236024844721,0.7142857142857143,0.639751552795031,0.6673032642557226,0.04351812059184346,368.0,304.0,296.0,312.0,312.0,318.4,25.499803920814763,93,368.0,304.0,296.0,312.0,312.0,318.4,25.499803920814763,65.49382716049384,58.851851851851855,57.837500000000006,60.162499999999994,59.52499999999999,60.37413580246914,2.6731603223910696,88,65.30218068535825,58.99065420560747,58.14285714285714,59.745341614906835,59.46583850931676,60.32937443160929,2.5451373383343467,min_samples_split,param_min_samples_split,combined
1,0.1484386920928955,0.026459409476246826,0.05688872337341309,0.0069832728976195095,0.11675776969521896,37,"{'min_samples_split': np.float64(0.11675776969521896), 'n_estimators': 37}",0.8888888888888888,0.8765432098765432,0.8625,0.8625,0.9125,0.8805864197530863,0.01875095892482614,52,0.9283489096573209,0.9252336448598131,0.937888198757764,0.922360248447205,0.9099378881987578,0.9247537779841721,0.009065404864662752,2288.0,2392.0,2200.0,2296.0,2216.0,2278.4,68.33330081300039,58,2288.0,2392.0,2200.0,2296.0,2216.0,2278.4,68.33330081300039,176.49382716049382,174.1234567901235,164.36250000000004,176.11249999999998,167.65000000000003,171.74845679012347,4.869368416042014,58,174.83800623052966,175.45171339563865,168.09627329192546,172.8633540372671,166.48757763975158,171.54738491902248,3.6142928867285162,min_samples_split,param_min_samples_split,combined
2,0.13412003517150878,0.008849469752224495,0.045330238342285153,0.017294859363826926,0.23759446520393473,36,"{'min_samples_split': np.float64(0.23759446520393473), 'n_estimators': 36}",0.7901234567901234,0.8641975308641975,0.775,0.7625,0.775,0.7933641975308642,0.03648273482837931,73,0.8411214953271028,0.8629283489096573,0.8540372670807453,0.8354037267080745,0.8043478260869565,0.8395677328225073,0.0200762584209516,1128.0,1088.0,1080.0,1168.0,1080.0,1108.8,34.53925303187664,71,1128.0,1088.0,1080.0,1168.0,1080.0,1108.8,34.53925303187664,134.8148148148148,127.56790123456794,124.39999999999999,135.9625,126.21250000000003,129.79154320987655,4.693332237100488,73,133.3239875389408,128.6448598130841,127.72670807453417,133.45652173913047,125.69565217391303,129.7695458679205,3.106849255103145,min_samples_split,param_min_samples_split,combined
3,0.16529521942138672,0.017996480465718476,0.10687146186828614,0.01336122403046124,0.020715507161027432,36,"{'min_samples_split': np.float64(0.020715507161027432), 'n_estimators': 36}",0.9382716049382716,0.9259259259259259,0.875,0.9125,0.9625,0.9228395061728396,0.0290384371775475,16,0.9937694704049844,0.9937694704049844,0.9968944099378882,1.0,0.9968944099378882,0.9962655521371492,0.0023322895675599565,6968.0,6920.0,6784.0,6688.0,6704.0,6812.8,112.97858204102226,29,6968.0,6920.0,6784.0,6688.0,6704.0,6812.8,112.97858204102226,224.53086419753086,214.55555555555551,207.14999999999998,225.45000000000002,217.74999999999994,217.88728395061725,6.74893117698667,52,222.11214953271028,218.5077881619938,214.65217391304353,217.89440993788816,214.1180124223603,217.45690679359922,2.8976468993067117,min_samples_split,param_min_samples_split,combined
4,0.2514064311981201,0.019712472504659295,0.06671886444091797,0.00497570129920877,0.577683907952542,80,"{'min_samples_split': np.float64(0.577683907952542), 'n_estimators': 80}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,94,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,656.0,656.0,640.0,640.0,640.0,646.4,7.83836717690617,82,656.0,656.0,640.0,640.0,640.0,646.4,7.83836717690617,161.81481481481484,161.8148148148148,160.0,160.0,160.0,160.72592592592594,0.8890740547879727,65,161.87850467289718,161.84735202492212,160.0,160.0,160.0,160.74517133956385,0.912697943850363,min_samples_split,param_min_samples_split,combined
5,0.14907922744750976,0.016911088380963616,0.042909431457519534,0.004065440902869632,0.29691835059950983,42,"{'min_samples_split': np.float64(0.29691835059950983), 'n_estimators': 42}",0.7283950617283951,0.8148148148148148,0.725,0.7125,0.75,0.7461419753086419,0.036399345611158866,75,0.7725856697819314,0.778816199376947,0.7515527950310559,0.7919254658385093,0.7639751552795031,0.7717710570615894,0.013609202926007253,992.0,976.0,928.0,960.0,880.0,947.2,39.710955667170744,76,992.0,976.0,928.0,960.0,880.0,947.2,39.710955667170744,139.82716049382717,132.93827160493828,128.8125,135.7375,126.96249999999998,132.8555864197531,4.647367494451735,71,137.7570093457944,133.9190031152648,131.19254658385094,133.5652173913044,126.39440993788818,132.56563727482052,3.7349840261068623,min_samples_split,param_min_samples_split,combined
6,0.2980997562408447,0.02854512204993979,0.23877863883972167,0.03160461720294208,0.0130449885002876,70,"{'min_samples_split': np.float64(0.0130449885002876), 'n_estimators': 70}",0.9382716049382716,0.9506172839506173,0.875,0.925,0.975,0.9327777777777777,0.033256312480013886,3,1.0,1.0,0.9968944099378882,1.0,1.0,0.9993788819875776,0.0012422360248447006,14840.0,14960.0,14848.0,13936.0,14848.0,14686.4,377.83043815976504,5,14840.0,14960.0,14848.0,13936.0,14848.0,14686.4,377.83043815976504,441.8148148148147,427.81481481481484,415.6500000000001,433.8499999999999,431.6499999999999,430.15592592592594,8.575672789117311,11,435.5077881619937,432.64174454828674,429.17701863354034,421.33850931677017,425.1242236024845,428.7578568526151,5.080784611978944,min_samples_split,param_min_samples_split,combined
7,0.20349512100219727,0.01331792923427317,0.06827363967895508,0.0049957383808516154,0.18779339699177167,58,"{'min_samples_split': np.float64(0.18779339699177167), 'n_estimators': 58}",0.8641975308641975,0.8765432098765432,0.7875,0.7875,0.8625,0.8356481481481481,0.03961056327623365,67,0.8847352024922118,0.9096573208722741,0.8944099378881988,0.8913043478260869,0.8540372670807453,0.8868288152319034,0.018321098913314935,2368.0,2432.0,2224.0,2376.0,2320.0,2344.0,69.74238309665078,57,2368.0,2432.0,2224.0,2376.0,2320.0,2344.0,69.74238309665078,237.25925925925918,232.2962962962963,220.87500000000003,237.73750000000004,225.49999999999994,230.73361111111112,6.6130692815332965,47,234.72585669781935,233.85046728971963,225.45031055900625,233.496894409938,224.71118012422355,230.44694181614136,4.405918636211973,min_samples_split,param_min_samples_split,combined
8,0.30004315376281737,0.026160068127142642,0.24922103881835939,0.018064242068658972,0.013363179710403883,68,"{'min_samples_split': np.float64(0.013363179710403883), 'n_estimators': 68}",0.9382716049382716,0.9506172839506173,0.875,0.925,0.975,0.9327777777777777,0.033256312480013886,3,1.0,1.0,0.9968944099378882,1.0,1.0,0.9993788819875776,0.0012422360248447006,14336.0,14576.0,14392.0,13504.0,14408.0,14243.2,378.1758321204569,8,14336.0,14576.0,14392.0,13504.0,14408.0,14243.2,378.1758321204569,428.753086419753,415.1851851851852,402.8500000000001,420.1624999999999,419.2999999999999,417.25015432098763,8.445467583629773,15,422.4735202492211,420.1557632398755,415.8757763975155,407.76397515527947,412.45031055900625,415.7438691201795,5.2781938058157545,min_samples_split,param_min_samples_split,combined
9,0.46007137298583983,0.035521332290515066,0.36188511848449706,0.06661686141494425,0.041248536462899325,95,"{'min_samples_split': np.float64(0.041248536462899325), 'n_estimators': 95}",0.9012345679012346,0.9506172839506173,0.8875,0.8875,0.975,0.9203703703703703,0.03585072843697842,23,0.9813084112149533,0.9844236760124611,0.984472049689441,0.9906832298136646,0.984472049689441,0.9850718832839922,0.003059107884324228,14472.0,14752.0,14448.0,14056.0,14512.0,14448.0,223.94284985236746,6,14472.0,14752.0,14448.0,14056.0,14512.0,14448.0,223.94284985236746,564.79012345679,556.3703703703703,535.0625000000003,554.4875000000003,555.3375000000001,553.2095987654322,9.793643020831977,2,559.1993769470405,561.7196261682243,550.1583850931677,541.4192546583851,547.1490683229813,551.9291422379598,7.551851597425345,min_samples_split,param_min_samples_split,combined
10,0.20611195564270018,0.008416012352282126,0.056856632232666016,0.004851324541356736,0.35807670836017036,63,"{'min_samples_split': np.float64(0.35807670836017036), 'n_estimators': 63}",0.7530864197530864,0.7283950617283951,0.7125,0.6625,0.6375,0.6987962962962962,0.04262851857554684,82,0.7476635514018691,0.7071651090342679,0.7453416149068323,0.7763975155279503,0.7236024844720497,0.7400340550685939,0.023490614244807532,1160.0,1064.0,1088.0,1112.0,960.0,1076.8,66.47224984909117,72,1160.0,1064.0,1088.0,1112.0,960.0,1076.8,66.47224984909117,185.1234567901234,172.962962962963,174.61249999999995,180.64999999999992,165.64999999999998,175.79978395061724,6.6772865998612225,57,183.24299065420564,173.70716510903432,176.58385093167698,178.25776397515529,165.2701863354037,175.4123914010952,5.9423710332070625,min_samples_split,param_min_samples_split,combined
11,0.2156521797180176,0.007982212749896314,0.07367310523986817,0.003795880335974176,0.20228844320183897,60,"{'min_samples_split': np.float64(0.20228844320183897), 'n_estimators': 60}",0.8518518518518519,0.8765432098765432,0.8,0.7375,0.8625,0.825679012345679,0.051113440783072416,70,0.8722741433021807,0.897196261682243,0.8819875776397516,0.8509316770186336,0.8540372670807453,0.8712853853447108,0.017312764661186485,2264.0,2336.0,2136.0,2264.0,2104.0,2220.8,86.99057420203638,59,2264.0,2336.0,2136.0,2264.0,2104.0,2220.8,86.99057420203638,238.4691358024691,233.48148148148147,221.75000000000006,238.72500000000005,221.90000000000003,230.86512345679012,7.614498099929098,46,235.4984423676013,234.88473520249215,226.93788819875783,234.48447204968957,221.28881987577637,230.61887153886346,5.613379979382217,min_samples_split,param_min_samples_split,combined
12,0.0729243278503418,0.010979417540817282,0.018398571014404296,0.0012867386738079345,0.5912252466267619,20,"{'min_samples_split': np.float64(0.5912252466267619), 'n_estimators': 20}",0.5555555555555556,0.49382716049382713,0.5,0.5,0.5,0.5098765432098766,0.022964290416960846,93,0.5389408099688473,0.5015576323987538,0.5,0.5,0.5,0.5080996884735203,0.015432356481620963,168.0,168.0,160.0,160.0,160.0,163.2,3.919183588453085,97,168.0,168.0,160.0,160.0,160.0,163.2,3.919183588453085,40.901234567901234,40.93827160493827,40.0,40.0,40.0,40.367901234567896,0.45073734236928625,95,40.93457943925234,40.925233644859816,40.0,40.0,40.0,40.37196261682243,0.4555688936454821,min_samples_split,param_min_samples_split,combined
13,0.13904109001159667,0.012918548451930901,0.04451913833618164,0.004123381136594813,0.1933162421486903,38,"{'min_samples_split': np.float64(0.1933162421486903), 'n_estimators': 38}",0.8641975308641975,0.8518518518518519,0.7875,0.775,0.8625,0.82820987654321,0.038777446632315214,68,0.8785046728971962,0.9034267912772586,0.8788819875776398,0.8757763975155279,0.84472049689441,0.8762620692324065,0.018681124322035506,1472.0,1544.0,1408.0,1520.0,1456.0,1480.0,48.0,66,1472.0,1544.0,1408.0,1520.0,1456.0,1480.0,48.0,154.80246913580245,151.3086419753087,142.1875,155.18750000000006,145.8375,149.86472222222224,5.098165787497952,68,152.5919003115265,152.48286604361368,145.70807453416148,152.42236024844726,145.60559006211176,149.76215823997214,3.352581679277535,min_samples_split,param_min_samples_split,combined
14,0.2584080219268799,0.006385997912884029,0.08249506950378419,0.010462623941393872,0.2997503157785519,74,"{'min_samples_split': np.float64(0.2997503157785519), 'n_estimators': 74}",0.7283950617283951,0.7654320987654321,0.7125,0.7125,0.7125,0.7262654320987654,0.02052814878518925,77,0.7570093457943925,0.7507788161993769,0.7546583850931677,0.8167701863354038,0.7484472049689441,0.765532787678257,0.025790577834542503,1704.0,1664.0,1648.0,1696.0,1512.0,1644.8,69.48496240194709,64,1704.0,1664.0,1648.0,1696.0,1512.0,1644.8,69.48496240194709,240.85185185185185,230.70370370370367,227.51250000000005,239.27499999999998,220.52499999999995,231.77361111111108,7.543451622432045,45,237.7352024922119,231.82554517133957,231.90062111801248,235.41925465838509,219.64906832298135,231.30593835258605,6.2411708217820445,min_samples_split,param_min_samples_split,combined
