,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_size,split1_test_size,split2_test_size,split3_test_size,split4_test_size,mean_test_size,std_test_size,rank_test_size,split0_train_size,split1_train_size,split2_train_size,split3_train_size,split4_train_size,mean_train_size,std_train_size,split0_test_compute,split1_test_compute,split2_test_compute,split3_test_compute,split4_test_compute,mean_test_compute,std_test_compute,rank_test_compute,split0_train_compute,split1_train_compute,split2_train_compute,split3_train_compute,split4_train_compute,mean_train_compute,std_train_compute,depth_param_type,depth_param_value,feature_set
0,0.023135042190551756,0.0014636788510948141,0.007722806930541992,0.0004007208350849148,1,6,"{'max_depth': 1, 'n_estimators': 6}",0.5308641975308642,0.49382716049382713,0.5,0.5,0.5,0.5049382716049383,0.013181578088927559,94,0.5545171339563862,0.5015576323987538,0.5,0.5,0.5,0.511214953271028,0.02165949320345007,48.0,48.0,48.0,48.0,48.0,48.0,0.0,100,48.0,48.0,48.0,48.0,48.0,48.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,100,12.0,12.0,12.0,12.0,12.0,12.0,0.0,max_depth,param_max_depth,combined
1,0.04498534202575684,0.003109897050658848,0.02491731643676758,0.0013991847724192802,7,10,"{'max_depth': 7, 'n_estimators': 10}",0.8641975308641975,0.9506172839506173,0.9125,0.8625,0.9125,0.900462962962963,0.033351475401343575,55,0.9906542056074766,0.9875389408099688,0.9906832298136646,0.9968944099378882,0.9968944099378882,0.9925330392213774,0.00373994488168198,2000.0,2136.0,2048.0,1936.0,2160.0,2056.0,83.4457907865939,78,2000.0,2136.0,2048.0,1936.0,2160.0,2056.0,83.4457907865939,61.53086419753086,58.7283950617284,56.7375,58.925,58.46249999999999,58.876851851851846,1.5373127851465669,94,60.75077881619937,59.36760124610592,58.440993788819874,57.05900621118013,56.96894409937889,58.51746483233684,1.4311735815795101,max_depth,param_max_depth,combined
2,0.10413661003112792,0.023939525868235747,0.10253100395202637,0.07061042320321845,8,21,"{'max_depth': 8, 'n_estimators': 21}",0.9382716049382716,0.9382716049382716,0.875,0.875,0.9375,0.9128086419753085,0.030871912615981777,41,1.0,1.0,1.0,1.0,0.9968944099378882,0.9993788819875776,0.0012422360248447006,4848.0,4856.0,4896.0,4664.0,4864.0,4825.6,82.42717998330404,51,4848.0,4856.0,4896.0,4664.0,4864.0,4825.6,82.42717998330404,132.60493827160494,126.38271604938274,122.6,130.11249999999998,129.11249999999998,128.16253086419752,3.4219671229610613,70,131.22741433021804,128.23676012461058,126.2360248447205,126.09006211180125,126.04037267080744,127.56612681643155,2.006521331705303,max_depth,param_max_depth,combined
3,0.325946569442749,0.15264830790314207,0.11192388534545898,0.06017025554146042,1,63,"{'max_depth': 1, 'n_estimators': 63}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,95,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,504.0,504.0,504.0,504.0,504.0,504.0,0.0,94,504.0,504.0,504.0,504.0,504.0,504.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,0.0,71,126.0,126.0,126.0,126.0,126.0,126.0,0.0,max_depth,param_max_depth,combined
4,0.2509279251098633,0.08474017730220611,0.16043486595153808,0.09478086389783197,8,28,"{'max_depth': 8, 'n_estimators': 28}",0.9259259259259259,0.9382716049382716,0.875,0.9,0.9625,0.9203395061728395,0.030330320878265864,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6384.0,6496.0,6504.0,6064.0,6472.0,6384.0,165.58260778233927,38,6384.0,6496.0,6504.0,6064.0,6472.0,6384.0,165.58260778233927,176.2716049382716,170.66666666666669,164.02499999999998,173.5625,173.325,171.57015432098765,4.168889690016189,56,173.77570093457942,173.23676012461058,169.23291925465838,167.69565217391303,168.72670807453412,170.5335481124591,2.483097654585169,max_depth,param_max_depth,combined
5,0.03715195655822754,0.003892577897905886,0.02148780822753906,0.0014721888955894072,7,7,"{'max_depth': 7, 'n_estimators': 7}",0.8518518518518519,0.9382716049382716,0.9125,0.8625,0.8875,0.8905246913580248,0.03178931438500582,58,0.9813084112149533,0.9875389408099688,0.9875776397515528,0.9906832298136646,0.9875776397515528,0.9869371722683384,0.0030626269998420257,1352.0,1472.0,1424.0,1360.0,1496.0,1420.8,57.82179519869649,82,1352.0,1472.0,1424.0,1360.0,1496.0,1420.8,57.82179519869649,43.925925925925924,41.111111111111114,39.4125,41.75,40.5875,41.35740740740741,1.4958275588228342,98,43.49221183800623,41.426791277258566,40.46583850931677,40.28260869565218,39.45031055900622,41.023552175847996,1.3850641328196265,max_depth,param_max_depth,combined
6,0.1754021167755127,0.022420963206689914,0.12164769172668458,0.038006352012636684,8,29,"{'max_depth': 8, 'n_estimators': 29}",0.9259259259259259,0.9382716049382716,0.875,0.9,0.95,0.9178395061728395,0.027094757711460846,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6608.0,6752.0,6736.0,6272.0,6704.0,6614.4,178.3407973515875,37,6608.0,6752.0,6736.0,6272.0,6704.0,6614.4,178.3407973515875,182.29629629629628,176.81481481481484,169.42499999999998,179.525,178.825,177.3772222222222,4.346502961836851,54,179.7352024922118,179.35825545171338,174.9223602484472,173.7701863354037,174.20186335403722,176.39757357636262,2.600229428499737,max_depth,param_max_depth,combined
7,0.30303254127502444,0.06311955670509643,0.21213788986206056,0.021833821353129827,7,63,"{'max_depth': 7, 'n_estimators': 63}",0.9382716049382716,0.9382716049382716,0.8875,0.9,0.9625,0.9253086419753085,0.027529237896936048,20,0.9968847352024922,1.0,1.0,1.0,1.0,0.9993769470404985,0.0012461059190031153,12752.0,13728.0,13304.0,12304.0,13656.0,13148.8,545.5178823833368,18,12752.0,13728.0,13304.0,12304.0,13656.0,13148.8,545.5178823833368,383.9876543209876,375.13580246913585,363.54999999999995,376.92499999999995,382.69999999999993,376.4596913580247,7.269676790624611,20,378.0155763239875,379.4112149532711,373.73291925465844,366.7173913043478,373.8198757763976,374.33939552253247,4.426518274109969,max_depth,param_max_depth,combined
8,0.34565167427062987,0.030717459229308727,0.2536141395568848,0.0341339716038293,6,72,"{'max_depth': 6, 'n_estimators': 72}",0.9135802469135802,0.9382716049382716,0.9,0.9,0.9625,0.9228703703703702,0.024249204714362763,23,0.9968847352024922,0.9968847352024922,0.9968944099378882,1.0,1.0,0.9981327760685745,0.0015245860487771686,12320.0,12896.0,12672.0,11776.0,12744.0,12481.6,400.20474759802636,20,12320.0,12896.0,12672.0,11776.0,12744.0,12481.6,400.20474759802636,418.66666666666663,413.6296296296297,400.175,412.0250000000002,413.4000000000001,411.5792592592593,6.131986192411327,18,412.4859813084113,416.65732087227406,408.78260869565213,403.73913043478274,407.0186335403726,409.7367349702986,4.465927835288528,max_depth,param_max_depth,combined
9,0.46196374893188474,0.1730754863157461,0.19800105094909667,0.028576955619494714,4,80,"{'max_depth': 4, 'n_estimators': 80}",0.9012345679012346,0.8888888888888888,0.8625,0.8375,0.9625,0.8905246913580246,0.042177775139812086,59,0.9439252336448598,0.9439252336448598,0.9596273291925466,0.9347826086956522,0.9565217391304348,0.9477564288616707,0.009115098047219322,7096.0,7112.0,7224.0,6720.0,7384.0,7107.2,219.24087210189617,31,7096.0,7112.0,7224.0,6720.0,7384.0,7107.2,219.24087210189617,379.82716049382725,376.0864197530865,372.1000000000001,374.2124999999999,378.0249999999999,376.0502160493827,2.725721879104942,21,377.02803738317766,377.47663551401865,375.5124223602484,371.9844720496893,376.5683229813664,375.71397805770005,1.9755231322739855,max_depth,param_max_depth,combined
10,0.2996342658996582,0.1193258694041213,0.10725536346435546,0.0119448774989726,4,55,"{'max_depth': 4, 'n_estimators': 55}",0.8641975308641975,0.8765432098765432,0.875,0.825,0.9,0.8681481481481482,0.024532979709584415,64,0.9252336448598131,0.9439252336448598,0.9503105590062112,0.9285714285714286,0.9503105590062112,0.9396702850177048,0.010734399306753952,4976.0,5008.0,5032.0,4664.0,5096.0,4955.2,150.8249316260412,47,4976.0,5008.0,5032.0,4664.0,5096.0,4955.2,150.8249316260412,262.7283950617285,259.2345679012346,257.4375,259.1,260.5875,259.81759259259263,1.7655155677194994,44,260.73520249221184,260.04361370716504,259.388198757764,257.2080745341615,259.15217391304344,259.30545268086917,1.1847702400019335,max_depth,param_max_depth,combined
11,0.2323880672454834,0.034527143882424415,0.20223336219787597,0.06801970867353897,9,43,"{'max_depth': 9, 'n_estimators': 43}",0.9382716049382716,0.9382716049382716,0.8875,0.9,0.9625,0.9253086419753085,0.027529237896936048,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10632.0,10904.0,10536.0,10280.0,10784.0,10627.2,214.5193697548079,25,10632.0,10904.0,10536.0,10280.0,10784.0,10627.2,214.5193697548079,275.90123456790127,264.4197530864198,253.67499999999998,271.25000000000006,270.075,267.0641975308642,7.628142557044882,43,271.2461059190031,267.5981308411214,261.9627329192547,262.6304347826087,263.5341614906832,265.3943131905342,3.5206596465006936,max_depth,param_max_depth,combined
12,0.07558088302612305,0.02436977619749652,0.05044755935668945,0.0253239105336769,8,8,"{'max_depth': 8, 'n_estimators': 8}",0.8641975308641975,0.9506172839506173,0.925,0.8875,0.9125,0.9079629629629629,0.029881038586400954,46,0.9937694704049844,0.9937694704049844,0.9906832298136646,0.9875776397515528,0.9875776397515528,0.9906754900253478,0.0027690735534174533,1824.0,1896.0,1760.0,1784.0,1848.0,1822.4,47.83973244072337,80,1824.0,1896.0,1760.0,1784.0,1848.0,1822.4,47.83973244072337,52.123456790123456,49.38271604938272,44.8125,48.912499999999994,48.087500000000006,48.66373456790124,2.354253615908897,96,51.629283489096565,49.376947040498436,46.329192546583855,47.03105590062112,46.7360248447205,48.2205007643041,2.0076186026508536,max_depth,param_max_depth,combined
13,0.3573777675628662,0.11637463556913033,0.08761186599731445,0.021979916244899696,2,56,"{'max_depth': 2, 'n_estimators': 56}",0.7530864197530864,0.7654320987654321,0.7625,0.65,0.725,0.7312037037037037,0.043040496946265556,88,0.7632398753894081,0.7414330218068536,0.7639751552795031,0.7608695652173914,0.7546583850931677,0.7568352005572648,0.008369474860184866,1328.0,1328.0,1328.0,1304.0,1336.0,1324.8,10.851727973000429,83,1328.0,1328.0,1328.0,1304.0,1336.0,1324.8,10.851727973000429,167.7283950617284,167.65432098765433,167.45,167.06250000000003,167.725,167.52404320987654,0.25203973565557675,61,167.5919003115265,167.6822429906542,167.50931677018636,166.8416149068323,167.72981366459626,167.47097772875912,0.32367229331800507,max_depth,param_max_depth,combined
14,0.19732842445373536,0.06611606520860835,0.0879209041595459,0.033945143933442765,4,25,"{'max_depth': 4, 'n_estimators': 25}",0.8518518518518519,0.8765432098765432,0.8625,0.8125,0.9375,0.8681790123456791,0.0406800661172267,62,0.9003115264797508,0.9345794392523364,0.9347826086956522,0.922360248447205,0.9347826086956522,0.9253632863141193,0.013408904880444966,2216.0,2104.0,2288.0,2152.0,2272.0,2206.4,69.99885713352754,73,2216.0,2104.0,2288.0,2152.0,2272.0,2206.4,69.99885713352754,118.98765432098769,115.76543209876543,116.61250000000001,118.675,118.33749999999999,117.67561728395063,1.259946152074415,76,118.23052959501555,116.55451713395638,117.43167701863354,117.84782608695652,117.72360248447204,117.5576304638068,0.5633212360625259,max_depth,param_max_depth,combined
15,0.3505833625793457,0.02612826666215923,0.3188413143157959,0.06880024309448302,9,62,"{'max_depth': 9, 'n_estimators': 62}",0.9506172839506173,0.9382716049382716,0.8875,0.9125,0.95,0.9277777777777777,0.024418437655716347,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15400.0,15920.0,15288.0,14664.0,15704.0,15395.2,428.23843825607247,15,15400.0,15920.0,15288.0,14664.0,15704.0,15395.2,428.23843825607247,396.88888888888897,382.95061728395063,367.57500000000005,390.125,392.4249999999999,385.9929012345679,10.253226411439027,19,389.28037383177576,386.4267912772585,379.81987577639745,377.73913043478245,382.3975155279503,383.13273736963293,4.224945539935401,max_depth,param_max_depth,combined
16,0.26876163482666016,0.08630569612028743,0.09017972946166992,0.046392514573563845,1,53,"{'max_depth': 1, 'n_estimators': 53}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,95,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,424.0,424.0,424.0,424.0,424.0,424.0,0.0,95,424.0,424.0,424.0,424.0,424.0,424.0,0.0,106.0,106.0,106.0,106.0,106.0,106.0,0.0,81,106.0,106.0,106.0,106.0,106.0,106.0,0.0,max_depth,param_max_depth,combined
17,0.45594077110290526,0.04021105325372104,0.17728452682495116,0.01641891336355285,3,96,"{'max_depth': 3, 'n_estimators': 96}",0.7901234567901234,0.8888888888888888,0.8125,0.775,0.875,0.8283024691358024,0.04560675800309101,70,0.8504672897196262,0.8847352024922118,0.8664596273291926,0.8913043478260869,0.8571428571428571,0.8700218649019948,0.01568672158486844,4872.0,4904.0,4936.0,4672.0,5024.0,4881.6,116.41580648691998,48,4872.0,4904.0,4936.0,4672.0,5024.0,4881.6,116.41580648691998,377.4691358024691,376.34567901234567,374.875,372.08750000000015,377.58750000000003,375.67296296296297,2.041397823438737,22,376.27414330218056,376.7881619937694,376.48447204968954,370.26086956521743,376.99689440993785,375.3609082641589,2.562041858494692,max_depth,param_max_depth,combined
18,0.3676553249359131,0.03200077304719505,0.10296926498413086,0.015244739051709248,1,90,"{'max_depth': 1, 'n_estimators': 90}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,95,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,720.0,720.0,720.0,720.0,720.0,720.0,0.0,91,720.0,720.0,720.0,720.0,720.0,720.0,0.0,180.0,180.0,180.0,180.0,180.0,180.0,0.0,53,180.0,180.0,180.0,180.0,180.0,180.0,0.0,max_depth,param_max_depth,combined
19,0.3666713237762451,0.03348687608819559,0.35350742340087893,0.06578924562264155,9,74,"{'max_depth': 9, 'n_estimators': 74}",0.9506172839506173,0.9506172839506173,0.8875,0.9125,0.9625,0.9327469135802469,0.02821760841713572,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18600.0,18672.0,18328.0,17520.0,18848.0,18393.6,467.7749886430441,8,18600.0,18672.0,18328.0,17520.0,18848.0,18393.6,467.7749886430441,474.9135802469136,458.98765432098764,440.5125,465.68749999999994,465.92499999999995,461.20524691358025,11.518615858179082,12,465.94704049844245,462.834890965732,455.23913043478257,452.23602484472036,456.22360248447205,458.4961378456299,5.085317256672752,max_depth,param_max_depth,combined
20,0.29329471588134765,0.1078224875771964,0.18148183822631836,0.035549184829646044,5,53,"{'max_depth': 5, 'n_estimators': 53}",0.8888888888888888,0.9259259259259259,0.8875,0.85,0.975,0.905462962962963,0.042255509945015535,51,0.9844236760124611,0.9719626168224299,0.984472049689441,0.968944099378882,0.9875776397515528,0.9794760163309533,0.007515962141367545,6848.0,7408.0,7232.0,6560.0,7320.0,7073.6,320.09598560431834,33,6848.0,7408.0,7232.0,6560.0,7320.0,7073.6,320.09598560431834,284.09876543209873,282.2469135802469,278.6875,280.46249999999986,283.7625,281.8516358024691,2.0395436611918036,40,281.2461059190031,283.9781931464174,282.85714285714295,275.8975155279503,280.31677018633553,280.8591455273699,2.7850361931602197,max_depth,param_max_depth,combined
21,0.4029058933258057,0.0508312045209605,0.14679365158081054,0.03733286243399068,3,81,"{'max_depth': 3, 'n_estimators': 81}",0.7530864197530864,0.8888888888888888,0.7875,0.7875,0.8625,0.8158950617283951,0.051103040306301514,77,0.8317757009345794,0.8722741433021807,0.8633540372670807,0.8819875776397516,0.8509316770186336,0.8600646272324453,0.017459566926406548,4096.0,4128.0,4152.0,4000.0,4240.0,4123.2,77.99076868450521,59,4096.0,4128.0,4152.0,4000.0,4240.0,4123.2,77.99076868450521,318.5802469135802,317.01234567901236,316.24999999999994,315.1250000000001,318.23750000000007,317.04101851851857,1.2726705291914766,30,317.59813084112136,317.3800623052959,317.6614906832299,313.92857142857144,317.6832298136645,316.8502970143766,1.464800280663017,max_depth,param_max_depth,combined
22,0.5405274391174316,0.07137581319780005,0.42234373092651367,0.01455274211881503,7,93,"{'max_depth': 7, 'n_estimators': 93}",0.9382716049382716,0.9629629629629629,0.8875,0.8875,0.975,0.9302469135802468,0.03685694383415955,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,19360.0,20096.0,19688.0,18136.0,20032.0,19462.4,713.6681581799766,5,19360.0,20096.0,19688.0,18136.0,20032.0,19462.4,713.6681581799766,568.037037037037,558.4320987654321,537.8625,556.9499999999998,563.8000000000001,557.0163271604938,10.357144073537176,1,561.0529595015576,563.0093457943925,553.3198757763976,543.7173913043479,553.270186335404,554.8739517424199,6.838433002751696,max_depth,param_max_depth,combined
23,0.21967973709106445,0.027753337617813484,0.17223038673400878,0.019738774970702967,8,50,"{'max_depth': 8, 'n_estimators': 50}",0.9135802469135802,0.9382716049382716,0.8875,0.9,0.9625,0.9203703703703703,0.026969905100517607,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11624.0,12168.0,11648.0,11096.0,11952.0,11697.6,362.1588601705058,21,11624.0,12168.0,11648.0,11096.0,11952.0,11697.6,362.1588601705058,313.2098765432099,305.4320987654321,293.53749999999997,310.9375,309.62499999999994,306.5483950617284,6.980466794733885,34,308.4579439252337,309.0560747663552,302.9503105590062,300.59316770186336,301.6459627329193,304.54069193707556,3.527754609220281,max_depth,param_max_depth,combined
24,0.32870068550109866,0.024076115800951862,0.1330099582672119,0.011935522672263048,3,91,"{'max_depth': 3, 'n_estimators': 91}",0.7901234567901234,0.8765432098765432,0.8125,0.775,0.875,0.8258333333333333,0.04248730052245152,71,0.8504672897196262,0.8878504672897196,0.860248447204969,0.8975155279503105,0.8540372670807453,0.8700237998490741,0.019011412486947654,4608.0,4656.0,4680.0,4480.0,4752.0,4635.2,90.45308176065645,53,4608.0,4656.0,4680.0,4480.0,4752.0,4635.2,90.45308176065645,357.6049382716049,356.5925925925926,355.48749999999995,353.7000000000001,357.6,356.1970061728395,1.4727927162892311,24,356.4984423676011,357.0623052959501,356.95962732919264,352.2639751552795,357.0093167701863,355.9587333836419,1.858273890543403,max_depth,param_max_depth,combined
25,0.32356810569763184,0.0330880394457464,0.23250761032104492,0.014769056628727614,6,81,"{'max_depth': 6, 'n_estimators': 81}",0.9135802469135802,0.9506172839506173,0.9,0.9125,0.9625,0.9278395061728395,0.024223302916957387,10,0.9968847352024922,0.9968847352024922,0.9968944099378882,1.0,0.9968944099378882,0.9975116580561523,0.0012441784950235552,13760.0,14320.0,14296.0,13272.0,14472.0,14024.0,446.65512422897376,17,13760.0,14320.0,14296.0,13272.0,14472.0,14024.0,446.65512422897376,470.49382716049377,466.03703703703707,451.9375,463.42500000000024,465.88750000000005,463.55617283950613,6.240698451914935,11,464.6822429906543,469.5576323987539,461.5403726708074,454.2888198757766,458.79503105590067,461.77281979837863,5.17686319769347,max_depth,param_max_depth,combined
26,0.35318851470947266,0.03957225663436699,0.10665698051452636,0.010756540478453508,2,92,"{'max_depth': 2, 'n_estimators': 92}",0.7407407407407407,0.7654320987654321,0.7375,0.65,0.75,0.7287345679012346,0.04054390346920288,89,0.7601246105919003,0.7445482866043613,0.7670807453416149,0.7639751552795031,0.7639751552795031,0.7599407906193767,0.008006174111171042,2176.0,2192.0,2184.0,2136.0,2200.0,2177.6,22.28542124349459,76,2176.0,2192.0,2184.0,2136.0,2200.0,2177.6,22.28542124349459,275.2098765432099,275.65432098765433,275.225,274.08750000000003,275.725,275.1803395061728,0.5862556918003092,41,275.0280373831776,275.68224299065423,275.3913043478261,273.7826086956522,275.72981366459624,275.1228014163813,0.7153501687127395,max_depth,param_max_depth,combined
27,0.26957011222839355,0.007334611609272261,0.07256956100463867,0.004308477106649414,1,83,"{'max_depth': 1, 'n_estimators': 83}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,95,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,664.0,664.0,664.0,664.0,664.0,664.0,0.0,92,664.0,664.0,664.0,664.0,664.0,664.0,0.0,166.0,166.0,166.0,166.0,166.0,166.0,0.0,62,166.0,166.0,166.0,166.0,166.0,166.0,0.0,max_depth,param_max_depth,combined
28,0.26450166702270506,0.032249979971739146,0.12376785278320312,0.019574813545706178,4,63,"{'max_depth': 4, 'n_estimators': 63}",0.8518518518518519,0.8641975308641975,0.8625,0.825,0.9125,0.8632098765432099,0.028354876287816237,68,0.9376947040498442,0.9439252336448598,0.953416149068323,0.9347826086956522,0.9596273291925466,0.9458892049302452,0.00937821362639135,5648.0,5664.0,5704.0,5304.0,5824.0,5628.8,173.70135290204277,44,5648.0,5664.0,5704.0,5304.0,5824.0,5628.8,173.70135290204277,299.32098765432113,295.3827160493828,292.65000000000003,295.35,297.7625,296.0932407407408,2.285516814515841,39,296.9376947040499,296.36760124610583,295.2453416149068,293.0124223602484,296.4906832298136,295.6107486310249,1.4136985786688923,max_depth,param_max_depth,combined
29,0.3417219161987305,0.01681554429837477,0.32976136207580564,0.016797132339512258,9,85,"{'max_depth': 9, 'n_estimators': 85}",0.9506172839506173,0.9629629629629629,0.9125,0.9125,0.975,0.9427160493827161,0.025848171174300445,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,21280.0,21424.0,21008.0,20128.0,21680.0,21104.0,534.217933057287,2,21280.0,21424.0,21008.0,20128.0,21680.0,21104.0,534.217933057287,544.1851851851851,527.7654320987654,507.46249999999986,535.2375000000001,536.2125,530.1726234567901,12.490230157239369,5,535.3115264797509,531.7881619937692,524.0124223602485,519.972049689441,525.1708074534162,527.2509935953251,5.538169912009085,max_depth,param_max_depth,combined
