rms,zcr,centroid,rolloff,dominant_freq,band_0_500,band_500_1500,band_1500_3000,band_3000_6000,activity,filename
0.04673008993268013,0.11169448090505657,844.7423910036861,904.0,553.0,43652.2674021813,69244.06267588836,91.21739581222289,43.277800732132235,får,får_A_0.75m_nygaard_001_s01.wav
0.043390899896621704,0.12519532470779424,848.7815086614551,935.0,554.0,42304.56638056013,55146.355700891465,102.06356344339977,45.665800203642796,får,får_A_0.75m_nygaard_001_s02.wav
0.04032433032989502,0.10931933245827864,859.4757208273516,945.0,551.0,37954.43656846776,47725.91878526172,81.93140366457767,44.021804203974376,får,får_A_0.75m_nygaard_001_s03.wav
0.04433247819542885,0.12300768798049878,866.3105973599486,923.0,504.0,52814.558961753326,69525.45831990885,190.43978129358794,98.44900953942029,får,får_A_0.75m_nygaard_001_s04.wav
0.04401640221476555,0.1147571723232702,839.8923633272922,867.0,553.0,43095.62149573512,59873.05999458031,130.09626044719639,43.9161073667626,får,får_A_0.75m_nygaard_001_s05.wav
0.031826429069042206,0.14675917244827802,878.932146398169,856.0,502.0,34428.80108390617,25301.841789914204,38.941897889664915,35.40357221970288,får,får_A_0.75m_nygaard_001_s06.wav
0.027933260425925255,0.08688043002687668,987.7413419849559,1085.0,399.0,24223.987147283508,18226.736898286355,60.74088163212846,52.106536672567586,får,får_A_0.75m_nygaard_001_s07.wav
0.03498261049389839,0.10769423088943059,944.7408248325874,954.0,525.0,17590.394543996503,40055.3057342558,124.6856095757037,53.788827519126144,får,får_A_0.75m_nygaard_001_s08.wav
0.03432433307170868,0.13350834427151698,920.1254232950486,963.0,559.0,21890.698606574228,33179.072377162556,71.21599531536157,33.04689713773182,får,får_A_0.75m_nygaard_001_s09.wav
0.03513500466942787,0.11819488718044878,938.165693374262,969.0,530.0,25129.660246763116,39485.99878294677,141.7098093187941,59.687555144155795,får,får_A_0.75m_nygaard_001_s10.wav
0.04653795436024666,0.12494530908181761,833.9376509380561,868.0,553.0,42935.79960390921,69175.25048126763,82.34953719837449,39.74377392431177,får,får_A_0.75m_stille_001_s01.wav
0.04323023185133934,0.1825114069629352,839.4555074628497,921.0,554.0,42026.906721480926,55071.66562164093,96.75724733186756,42.198304282917675,får,får_A_0.75m_stille_001_s02.wav
0.03995712846517563,0.18001125070316895,823.057656869121,900.0,551.0,36997.879616255086,47483.4043627527,47.387114195029014,29.575851166125574,får,får_A_0.75m_stille_001_s03.wav
0.04424802586436272,0.1498843677729858,842.8378327682959,904.0,504.0,52523.44377009188,69524.46687572521,141.85984062045625,90.53073551966718,får,får_A_0.75m_stille_001_s04.wav
