,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_size,split1_test_size,split2_test_size,split3_test_size,split4_test_size,mean_test_size,std_test_size,rank_test_size,split0_train_size,split1_train_size,split2_train_size,split3_train_size,split4_train_size,mean_train_size,std_train_size,split0_test_compute,split1_test_compute,split2_test_compute,split3_test_compute,split4_test_compute,mean_test_compute,std_test_compute,rank_test_compute,split0_train_compute,split1_train_compute,split2_train_compute,split3_train_compute,split4_train_compute,mean_train_compute,std_train_compute,depth_param_type,depth_param_value,feature_set
0,0.3168511390686035,0.02733910492224079,0.0873075008392334,0.006539543913626861,0.05288979852952549,78,"{'ccp_alpha': np.float64(0.05288979852952549), 'n_estimators': 78}",0.8148148148148148,0.8765432098765432,0.825,0.8125,0.85,0.8357716049382715,0.024337432555234392,23,0.8504672897196262,0.9003115264797508,0.9037267080745341,0.8944099378881988,0.8726708074534162,0.8843172539231052,0.020079171928344502,2512.0,2552.0,2616.0,2632.0,2568.0,2576.0,43.524705627953416,15,2512.0,2552.0,2616.0,2632.0,2568.0,2576.0,43.524705627953416,280.07407407407396,268.4938271604938,266.6250000000001,278.37499999999994,273.12499999999994,273.3385802469136,5.27867047175681,8,275.03738317757006,270.85046728971963,273.972049689441,275.2360248447205,268.56832298136663,272.7328495965636,2.607643506960344,ccp_alpha,param_ccp_alpha,combined
1,0.029651546478271486,0.0016260237329965388,0.009522008895874023,0.0021326047940661438,0.18302115174365008,7,"{'ccp_alpha': np.float64(0.18302115174365008), 'n_estimators': 7}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,47,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,56.0,56.0,56.0,56.0,56.0,56.0,0.0,98,56.0,56.0,56.0,56.0,56.0,56.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,99,7.0,7.0,7.0,7.0,7.0,7.0,0.0,ccp_alpha,param_ccp_alpha,combined
2,0.07500014305114747,0.008262319190341497,0.015763616561889647,0.0016155085610746389,0.13036838755190486,18,"{'ccp_alpha': np.float64(0.13036838755190486), 'n_estimators': 18}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,47,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,144.0,144.0,144.0,144.0,144.0,144.0,0.0,87,144.0,144.0,144.0,144.0,144.0,144.0,0.0,24.0,21.0,26.0,24.0,22.0,23.4,1.7435595774162693,87,24.0,21.0,26.0,24.0,22.0,23.4,1.7435595774162693,ccp_alpha,param_ccp_alpha,combined
3,0.24263229370117187,0.008947409105947471,0.04549880027770996,0.005244442232218564,0.11839640771235403,56,"{'ccp_alpha': np.float64(0.11839640771235403), 'n_estimators': 56}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,47,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,456.0,456.0,456.0,464.0,448.0,456.0,5.059644256269407,65,456.0,456.0,456.0,464.0,448.0,456.0,5.059644256269407,74.80246913580247,74.76543209876543,82.75,87.625,82.0,80.38858024691358,4.967155728492195,55,74.79439252336448,74.77258566978193,82.77639751552795,87.53105590062111,82.0,80.3748863218591,4.942604518904936,ccp_alpha,param_ccp_alpha,combined
4,0.07853326797485352,0.004088142319269804,0.024750280380249023,0.001545165905209487,0.0283086329500173,19,"{'ccp_alpha': np.float64(0.0283086329500173), 'n_estimators': 19}",0.8765432098765432,0.9135802469135802,0.85,0.8125,0.925,0.8755246913580248,0.04128120745213238,15,0.9034267912772586,0.9314641744548287,0.9192546583850931,0.9192546583850931,0.9161490683229814,0.917909870165051,0.008946463800747958,992.0,1088.0,1144.0,1056.0,1136.0,1083.2,55.79390647732062,25,992.0,1088.0,1144.0,1056.0,1136.0,1083.2,55.79390647732062,80.33333333333334,79.32098765432099,77.5375,81.0375,82.08749999999998,80.06336419753086,1.552421496826935,56,78.66666666666666,80.57320872274144,80.06832298136646,78.62111801242236,79.95652173913042,79.57716762446547,0.7899726391744106,ccp_alpha,param_ccp_alpha,combined
5,0.22101669311523436,0.010743975763966285,0.05035099983215332,0.00374261309653127,0.07841504035671745,53,"{'ccp_alpha': np.float64(0.07841504035671745), 'n_estimators': 53}",0.7407407407407407,0.6790123456790124,0.7125,0.6625,0.7125,0.7014506172839506,0.02759897874008762,38,0.7320872274143302,0.6697819314641744,0.7391304347826086,0.7546583850931677,0.7484472049689441,0.7288210367446449,0.030513350162071014,864.0,784.0,832.0,904.0,888.0,854.4,42.75324549083964,34,864.0,784.0,832.0,904.0,888.0,854.4,42.75324549083964,136.86419753086417,125.7283950617284,129.0375,140.96249999999998,134.93749999999997,133.50601851851852,5.465980350868706,29,135.97819314641745,126.08099688473523,129.9937888198758,139.84782608695653,133.86335403726707,133.15283179505042,4.760270133277972,ccp_alpha,param_ccp_alpha,combined
6,0.11020164489746094,0.006769258983250938,0.022647523880004884,0.0009679005102109088,0.09286885965899903,26,"{'ccp_alpha': np.float64(0.09286885965899903), 'n_estimators': 26}",0.654320987654321,0.49382716049382713,0.6375,0.6,0.6375,0.6046296296296296,0.05818723948772052,42,0.6448598130841121,0.5015576323987538,0.6614906832298136,0.7111801242236024,0.6459627329192547,0.6330101971711073,0.07001376142781522,280.0,240.0,264.0,304.0,280.0,273.6,21.105449533236673,81,280.0,240.0,264.0,304.0,280.0,273.6,21.105449533236673,51.92592592592593,48.30864197530864,47.7875,59.05,50.7625,51.56691358024691,4.041604985646926,74,51.93457943925234,48.320872274143305,47.8416149068323,58.88198757763975,50.45341614906832,51.486494069387206,3.9816494114598604,ccp_alpha,param_ccp_alpha,combined
7,0.15747809410095215,0.009591291546797722,0.029585838317871094,0.002711645531349597,0.2024146372638123,36,"{'ccp_alpha': np.float64(0.2024146372638123), 'n_estimators': 36}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,47,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,288.0,288.0,288.0,288.0,288.0,288.0,0.0,77,288.0,288.0,288.0,288.0,288.0,288.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,80,36.0,36.0,36.0,36.0,36.0,36.0,0.0,ccp_alpha,param_ccp_alpha,combined
8,0.15028157234191894,0.012013036068566236,0.02527933120727539,0.0017158499939167195,0.19008330984477634,35,"{'ccp_alpha': np.float64(0.19008330984477634), 'n_estimators': 35}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,47,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,280.0,280.0,280.0,280.0,280.0,280.0,0.0,78,280.0,280.0,280.0,280.0,280.0,280.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,83,35.0,35.0,35.0,35.0,35.0,35.0,0.0,ccp_alpha,param_ccp_alpha,combined
9,0.3127007484436035,0.008894805597137897,0.05607104301452637,0.0039055811629096406,0.10534852992013338,75,"{'ccp_alpha': np.float64(0.10534852992013338), 'n_estimators': 75}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,47,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,656.0,656.0,632.0,672.0,616.0,646.4,19.85547783358537,53,656.0,656.0,632.0,672.0,616.0,646.4,19.85547783358537,120.0246913580247,117.1111111111111,116.4125,129.89999999999998,114.22500000000001,119.53466049382716,5.50444121860667,34,119.96884735202492,117.11526479750778,116.4472049689441,129.59937888198758,114.16459627329192,119.45905845475127,5.397813316620283,ccp_alpha,param_ccp_alpha,combined
10,0.18319997787475586,0.018305126451210563,0.056451272964477536,0.003341511913334671,0.027930347352849688,41,"{'ccp_alpha': np.float64(0.027930347352849688), 'n_estimators': 41}",0.8518518518518519,0.8888888888888888,0.85,0.85,0.925,0.8731481481481481,0.029871696372487735,16,0.9190031152647975,0.9283489096573209,0.9347826086956522,0.9347826086956522,0.9192546583850931,0.9272343801397032,0.007023152645830547,2272.0,2360.0,2464.0,2296.0,2408.0,2360.0,70.65408693062278,17,2272.0,2360.0,2464.0,2296.0,2408.0,2360.0,70.65408693062278,177.20987654320987,170.23456790123456,167.72500000000002,174.26249999999996,175.12500000000003,172.9113888888889,3.442864267056981,18,173.25856697819316,173.20560747663552,173.70807453416148,170.0807453416149,170.51863354037263,172.15432557419555,1.5306143836875872,ccp_alpha,param_ccp_alpha,combined
11,0.03709220886230469,0.006435950027844739,0.011630535125732422,0.00434877005582806,0.14565463880031285,7,"{'ccp_alpha': np.float64(0.14565463880031285), 'n_estimators': 7}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,47,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,56.0,56.0,56.0,56.0,56.0,56.0,0.0,98,56.0,56.0,56.0,56.0,56.0,56.0,0.0,8.0,8.0,7.0,7.0,7.0,7.4,0.48989794855663565,98,8.0,8.0,7.0,7.0,7.0,7.4,0.48989794855663565,ccp_alpha,param_ccp_alpha,combined
12,0.0895390510559082,0.009006882931406395,0.02969021797180176,0.0032770560772045557,0.025306892817794163,21,"{'ccp_alpha': np.float64(0.025306892817794163), 'n_estimators': 21}",0.8765432098765432,0.9012345679012346,0.8625,0.85,0.9375,0.8855555555555554,0.03105168363955632,10,0.9158878504672897,0.9283489096573209,0.9254658385093167,0.9347826086956522,0.9161490683229814,0.9241268551305122,0.007275850261571762,1304.0,1240.0,1304.0,1256.0,1360.0,1292.8,42.21089906647334,24,1304.0,1240.0,1304.0,1256.0,1360.0,1292.8,42.21089906647334,93.59259259259262,88.58024691358025,86.3125,91.26249999999999,92.69999999999999,90.48956790123457,2.6909328944867275,51,91.75077881619937,89.80062305295951,89.17391304347825,88.88198757763975,90.41304347826087,90.00406919370755,1.0205754445211346,ccp_alpha,param_ccp_alpha,combined
