,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_size,split1_test_size,split2_test_size,split3_test_size,split4_test_size,mean_test_size,std_test_size,rank_test_size,split0_train_size,split1_train_size,split2_train_size,split3_train_size,split4_train_size,mean_train_size,std_train_size,split0_test_compute,split1_test_compute,split2_test_compute,split3_test_compute,split4_test_compute,mean_test_compute,std_test_compute,rank_test_compute,split0_train_compute,split1_train_compute,split2_train_compute,split3_train_compute,split4_train_compute,mean_train_compute,std_train_compute,depth_param_type,depth_param_value,feature_set
0,0.3436913967132568,0.061164052957680945,0.21186137199401855,0.07177740957531087,0.02533303884082197,84,"{'min_samples_leaf': np.float64(0.02533303884082197), 'n_estimators': 84}",0.8765432098765432,0.9012345679012346,0.8875,0.85,0.9375,0.8905555555555555,0.028873023764329476,27,0.9595015576323987,0.9501557632398754,0.9565217391304348,0.9658385093167702,0.953416149068323,0.9570867436775605,0.005371325962764556,9120.0,9056.0,9144.0,8840.0,8992.0,9030.4,108.91758352075205,13,9120.0,9056.0,9144.0,8840.0,8992.0,9030.4,108.91758352075205,452.5308641975307,436.5432098765432,427.31249999999994,443.43750000000006,439.25000000000006,439.8148148148148,8.272267527474279,10,447.1183800623053,440.7227414330217,440.3664596273293,434.0621118012423,433.75155279503105,439.2042491437859,4.94900988395249,min_samples_leaf,param_min_samples_leaf,combined
1,0.02747068405151367,0.0013579657691060506,0.014238214492797852,0.007961116499859913,0.15182631707690183,8,"{'min_samples_leaf': np.float64(0.15182631707690183), 'n_estimators': 8}",0.6790123456790124,0.654320987654321,0.6375,0.6125,0.6,0.6366666666666667,0.028404218866986693,77,0.6355140186915887,0.6261682242990654,0.6428571428571429,0.6956521739130435,0.6490683229813664,0.6498519765484414,0.02413999604819074,128.0,128.0,128.0,128.0,128.0,128.0,0.0,97,128.0,128.0,128.0,128.0,128.0,128.0,0.0,21.049382716049383,21.01234567901235,20.6625,21.0375,21.099999999999998,20.972345679012346,0.1575307976798491,99,20.993769470404985,21.049844236760123,20.86335403726708,20.940993788819874,21.0,20.969592306650412,0.06333084627898329,min_samples_leaf,param_min_samples_leaf,combined
2,0.021457529067993163,0.0024325908479293835,0.009122705459594727,0.0005735349012716147,0.05416297679579574,5,"{'min_samples_leaf': np.float64(0.05416297679579574), 'n_estimators': 5}",0.7901234567901234,0.8765432098765432,0.775,0.6875,0.7625,0.7783333333333333,0.06049245715253908,62,0.8411214953271028,0.8722741433021807,0.8540372670807453,0.8509316770186336,0.8074534161490683,0.8451635997755462,0.021379386400689492,280.0,272.0,264.0,272.0,240.0,265.6,13.763720427268202,89,280.0,272.0,264.0,272.0,240.0,265.6,13.763720427268202,22.80246913580247,21.654320987654323,20.8625,21.8125,19.85,21.39635802469136,0.9892517396213406,98,22.538940809968846,21.526479750778815,21.06211180124224,21.037267080745345,19.81055900621118,21.195071689789284,0.8803716843069898,min_samples_leaf,param_min_samples_leaf,combined
3,0.29726996421813967,0.0628084504654613,0.21965622901916504,0.06827056238080284,0.014457445680765034,63,"{'min_samples_leaf': np.float64(0.014457445680765034), 'n_estimators': 63}",0.9135802469135802,0.9382716049382716,0.875,0.9,0.9625,0.9178703703703703,0.030277510349808766,9,0.9781931464174455,0.9719626168224299,0.9751552795031055,0.9782608695652174,0.9751552795031055,0.9757454383622608,0.002337733202078935,9744.0,9800.0,9688.0,9328.0,9696.0,9651.2,166.4769053052104,11,9744.0,9800.0,9688.0,9328.0,9696.0,9651.2,166.4769053052104,368.1481481481481,356.45679012345676,347.2124999999998,364.2,360.82500000000005,359.368487654321,7.194350512863304,18,363.36448598130846,361.0498442367601,357.62732919254665,353.1149068322982,355.43167701863354,358.1176486523094,3.704304399200286,min_samples_leaf,param_min_samples_leaf,combined
4,0.1892780303955078,0.004866229353797711,0.05481867790222168,0.004060978195747998,0.2203007431922335,62,"{'min_samples_leaf': np.float64(0.2203007431922335), 'n_estimators': 62}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,83,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,496.0,496.0,496.0,496.0,496.0,496.0,0.0,86,496.0,496.0,496.0,496.0,496.0,496.0,0.0,124.0,124.0,124.0,124.0,124.0,124.0,0.0,74,124.0,124.0,124.0,124.0,124.0,124.0,0.0,min_samples_leaf,param_min_samples_leaf,combined
5,0.4335198879241943,0.10871981633778048,0.2847625732421875,0.013591088445498554,0.016978560774925384,98,"{'min_samples_leaf': np.float64(0.016978560774925384), 'n_estimators': 98}",0.9259259259259259,0.9259259259259259,0.8875,0.875,0.95,0.9128703703703703,0.02755839292440928,13,0.9719626168224299,0.9688473520249221,0.9720496894409938,0.9751552795031055,0.968944099378882,0.9713918074340666,0.0023404222764218646,13960.0,14152.0,13864.0,13336.0,13840.0,13830.4,270.50885382922314,1,13960.0,14152.0,13864.0,13336.0,13840.0,13830.4,270.50885382922314,561.4814814814816,546.395061728395,528.4250000000003,549.6625,550.0,547.1928086419754,10.686560827495768,1,554.6043613707167,551.5887850467293,545.217391304348,536.2577639751554,542.9937888198759,546.132418103365,6.476771185084824,min_samples_leaf,param_min_samples_leaf,combined
6,0.22411370277404785,0.04880718608323543,0.0595555305480957,0.020541872640474548,0.2818308521104059,63,"{'min_samples_leaf': np.float64(0.2818308521104059), 'n_estimators': 63}",0.5061728395061729,0.49382716049382713,0.5,0.5,0.5,0.5,0.0039040464940350537,83,0.4984423676012461,0.5015576323987538,0.5,0.5,0.5,0.5,0.0009851332274667674,504.0,504.0,504.0,504.0,504.0,504.0,0.0,82,504.0,504.0,504.0,504.0,504.0,504.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,0.0,70,126.0,126.0,126.0,126.0,126.0,126.0,0.0,min_samples_leaf,param_min_samples_leaf,combined
7,0.40261044502258303,0.10865905028854579,0.20991792678833007,0.06966989202091557,0.038427513394359396,94,"{'min_samples_leaf': np.float64(0.038427513394359396), 'n_estimators': 94}",0.9012345679012346,0.9012345679012346,0.875,0.825,0.9375,0.8879938271604939,0.03725199963638206,31,0.9376947040498442,0.9283489096573209,0.9440993788819876,0.9316770186335404,0.9254658385093167,0.9334571699464019,0.006698327348249368,7056.0,7136.0,7104.0,6896.0,7016.0,7041.6,83.50712544447929,22,7056.0,7136.0,7104.0,6896.0,7016.0,7041.6,83.50712544447929,457.9012345679014,447.9753086419754,436.1124999999999,456.5749999999999,448.95,449.5028086419753,7.778028899532172,9,453.878504672897,449.8006230529594,448.0590062111801,447.1521739130434,443.27329192546586,448.4327199551091,3.4619904043460537,min_samples_leaf,param_min_samples_leaf,combined
8,0.2510663986206055,0.023611416373003537,0.07549080848693848,0.00370787965171612,0.12984439094811975,78,"{'min_samples_leaf': np.float64(0.12984439094811975), 'n_estimators': 78}",0.7283950617283951,0.7654320987654321,0.6625,0.725,0.675,0.7112654320987655,0.037707663087359705,71,0.7538940809968847,0.7445482866043613,0.7298136645962733,0.8198757763975155,0.7298136645962733,0.7555890946382616,0.033425426108279754,1720.0,1664.0,1696.0,1704.0,1696.0,1696.0,18.24280680158621,57,1720.0,1664.0,1696.0,1704.0,1696.0,1696.0,18.24280680158621,238.28395061728386,231.99999999999991,231.2750000000001,237.93750000000003,233.28750000000005,234.5567901234568,2.9745367432066345,42,237.08722741433027,232.25233644859813,234.9378881987577,235.09627329192537,231.7049689440994,234.21573885954217,1.9850038624957025,min_samples_leaf,param_min_samples_leaf,combined
9,0.15388412475585939,0.011706018481381782,0.09452261924743652,0.0061583264457805795,0.010099044324801881,39,"{'min_samples_leaf': np.float64(0.010099044324801881), 'n_estimators': 39}",0.9012345679012346,0.9259259259259259,0.875,0.9,0.9625,0.9129320987654321,0.02955920127684409,12,0.9875389408099688,0.9813084112149533,0.9906832298136646,0.9875776397515528,0.9875776397515528,0.9869371722683384,0.0030626269998420257,6680.0,6648.0,6512.0,6328.0,6472.0,6528.0,127.19748425185146,24,6680.0,6648.0,6512.0,6328.0,6472.0,6528.0,127.19748425185146,235.30864197530855,223.8518518518519,215.15000000000003,230.5375,226.6625,226.30209876543208,6.775829839517659,43,231.18691588785035,227.2772585669782,223.01863354037266,222.695652173913,223.17701863354043,225.47109576053094,3.3140088026330408,min_samples_leaf,param_min_samples_leaf,combined
